Confident,Brave,Powerful,Protective,Conflicted,Afraid,Vulnerable,Impotent,Envious,Around magic,Fire,Cold,Necrotic,Radiant,Thunder,Lightning,Force,Psychic,Poison,Acid,Generic,Boss fight only:,Demonic
,,,,,,,,,Damage,,,,,,,,,,,,,"Reactive: you may make a reaction every turn in combat. you also gain the parry ability. when you are subject to a melee attack, you may add your proficiency bonus to your ac for this attack. Until the end of your next long rest, you are greedy. you must make a wisdom saving throw when presented the next object you see or become obsessed with it. "
,,,,,,,,,,,,,,,,,,,,"Flight: Gain a flight speed equal to your walking speed for the duration of your rage. If you are still flying at the end of the rage, you fall, taking full damage.",,"Snake tail: gain a swim speed of 30 ft, climb speed of 30 feet, you cannot be knocked prone. tail as a weapon: 1d10 damage reach 10 feet. your weight doubles for the duration of the rage and you cannot jump. "
,,,,,,,,,,,,,,,,,,,,,,"Pincers: 1d8 attack. +1 to hit and damage. once per turn when you hit an opponent with this attack, you may grapple them as a bonus action. at the beginning of your turn if you have a creature grappled this way you may deal 2d10 +str mod damage as a free action to crush them.  you may not attack creatures directly in front of you though you may maneuver to make the attack.  "
,,,,,,,,,,,,,,,,,,,,,,Screech:you may use an action to emit a horrifying screech. creatures within 20 feet of you must make a constitution saving throw or be stunned until the end of your next turn.  automatically fail any stealth check during the rage and alerts nearby enemies. 
,,,,,,,,,,,,,,,,,,,,Rage nap: Your anger is so great you fall asleep. You regain hitpoints at a rate of 1 hit dice per round. This nap has the effects of a long rest if it is completed. If an ally takes an action to wake you up the rest ends and you begin raging as normal.,,"Amorphous: you gain the following: you have resistance to all non magical damage immune to piercing, bludgeoning, slashing, grappled, restrained. You can occupy the same space as another creature. it costs you ko movement to pass another creature. you can fit through any gap.  Polymorph into a lemure for 1d4 minutes following rage. if you are killed in this form, drop to 0 hitpoints.   "
,,,,,,,,,,,,,,,,,,,,,,Devils sight: you can see through darkness and dim light as if bright light. you can see through magical darkness.  Light sensitivity:  bright light gives you disadvantage on any sight based perception checks and attack rolls. 
,,,,,,,,,,,,,,,,,,,,,,Magic resistance: you have advantage on saves against magic effects and damage. you loose any resistance to physical attacks. 
,,,,,,,,,,,,,,,,,,,,"Embiggen:You grow one size category larger as the spell enlarge. But once the rage ends, your size is reduced to small until your next rest.",,"Weakening gaze: as an attack action you may target one enemy. that enemy must make a constitution saving throw or their melee attacks are reduced to half damage for one minute. following your rage, you are blinded for 1d4 minutes. "
,,,,,,,,,,,,,,,,,,,,,,Fire aura: creatures within 5 feet of you take 2 d8 fire damage at the end of their turn and when they enter your aura. you suffer the effects of extreme cold ubtil your next rest. 
,,,,,,,,,,,,,,,,,,,,,,"Death explosion: on death, you explode dealing 8d10 damage within a 30 foot sphere. if you die in this way, your body reforms by the next dawn. you are revived as if you had taken a full rest. but you also remember everything. "
,,,,,,,,,,,,,,,,,,,,Backup dancers: A team of 7 ethereal backup dancers appears. On each turn you may choose one player to receive 1d8 bardic inspiration.,,"Shadow stealth: while you are in shadow, low light, darkness or magical darkness you are invisible. you are vulnerable to radiant damage. "
,,,,,,,,,,,,,,,,,,,,,,Spider climb: as the spell. you may move along walls and ceilings as if they were floor.  additionally you may use your action to cast web as the spell. you may not speak during this rage however. 
,,,,,,,,,,,,,,,,,,,,"You teleport up to 30 feet to an unoccupied space you can see. Until your rage ends, you can use this effect again on each of your turns as a bonus action.",,Siege monster: double your damage against objects and structures. your dexterity is reduced by 5 ubtil the end of the rage. 
,,,,,,,,,,,,,,,,,,,,,,Raise ghoul: creatures killed by you while in your rage rise again as ghouls under your control. chance of summoning a hostile undead on d100 roll. 
,,,,,,,,,,,,,,,,,,,,"An intangible spirit, which looks like a flumph or a pixie (your choice), appears within 5 feet of one creature of your choice that you can see within 30 feet of you. At the end of the current turn, the spirit explodes, and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 1d6 force damage. Until your rage ends, you can use this effect again, summoning another spirit, on each of your turns as a bonus action.",,"Bite attack: your jaws enlarge and sprout ferocious teeth.. as a bonus action you may make a bite attack for 2d6 + str damage. you regain this damage as health. if a creature is one size category or more smaller than you, you may swallow them as a free action. they take 1d10 acid damage per round and are restrained. damage they do while swallowed cannot be reduced in any way. if they deal more than 20 damage in a round you must spit them out at the beginning of your next turn. at the end of this rage, you are sickened for 1d4 minutes.  "
,,,,,,,,,,,,,,,,,,,,,,Demonic shadows: the area within 10 feet of you is dark. you gain darkvision to compensate. Your allies however do not. any light source in this area causes you 5 points of damage per round. 
,,,,,,,,,,,,,,,,,,,,"Magic infuses one weapon of your choice that you are holding. Until your rage ends, the weapon’s damage type changes to force, and it gains the light and thrown properties, with a normal range of 20 feet and a long range of 60 feet. If the weapon leaves your hand, the weapon reappears in your hand at the end of the current turn.",,"Disease attack: your melee attacks inflict a random disease of the DMs choosing, cause sickness, or fatigue. at the end of this rage, you suffer the effects of the sickness for 1d4 minutes. "
,,,,,,,,,,,,,,,,,,,,,,Shape changer: you may change shape into a creature with challenge rating no higher than your own. you cannot speak during this transformation and have the intelligence of the animal you become. you still recognize allies and enemies. you also still benefit from the effect of rage.  
,,,,,,,,,,,,,,,,,,,,"Until your rage ends, you are surrounded by multi­colored, protective lights; you gain a +1 bonus to AC, and while within 10 feet of you, your allies gain the same bonus.",,Whirlwind of weapons: a magical aura of weapons surrounds you for 10 feet. creatures in this aura at the start of your turn take 4 d6 slashing damage. at the end of your rage. you take 4d6 slashing damage. 
,,,,,,,,,,,,,,,,,,,,,,"Provoke rage: you may, with an agonizing call, allow your allies to join in the fun. each ally who can hear you may enter a rage as a bonus action. they use your rage bonus for damage.  Roll a d4. on an odd roll, one enemy chosen by the DM can also use this rage. "
,,,,,,,,,,,,,,,,,,,,"Flowers and vines temporarily grow around you; until your rage ends, the ground within 15 feet of you is difficult terrain for your enemies.",,Incite fanaticism: choose up to 4 allies you can see. these allies are immune to fear and fear effects. The DM selects one monster. you are afraid of this enemy until the rage ends. 
,,,,,,,,,,,,,,,,,,,,,,"Consume magic: as a reaction. if a creature near you is concentrating on a spell, you may break that concentration, and gain 5 hp per level of the spell. you cannot benefit from magical healing during this rage. "
,,,,,,,,,,,,,,,,,,,,"the gray man: a small gray man appears. he is ethereal in nature and is treated as neutral by all parties. He imparts 4th wall knowledge, but also openly expresses your thoughts. If confronted, he will narrate the confrontation as if you are talking to a wall. ",,Fire resistance. cold vulnerability
,,,,,,,,,,,,,,,,,,,,,,Cold resistance fire vulnerability. 
,,,,,,,,,,,,,,,,,,,,can speak to beasts. but only speak to beasts for the remainder of the rage. ,,"Petrifying gaze: as an action, you may target a creature within 60 feet. if this creature fails a constitution saving throw, they begin petrification. on the first turn, their movement speed is 0. second turn, all attacks they make have disadvantage and they are vulnerable to bludgeoning. at the beginning of their third turn they are petrified.  you are also vulnerable to bludgeoning during this time and move at half speed. "
,,,,,,,,,,,,,,,,,,,,,,"Unbridled fury: as a reaction to taking damage, you may make a weapon attack.  on your turn if you miss with an attack, you take 5 damage."
,,,,,,,,,,,,,,,,,,,,Doors Automatically open for you. no door can remain locked in your presence. ,,Grasping pull : pull 1 creature 60 feet towards you as a bonus action you cannot move during this rage. 
,,,,,,,,,,,,,,,,,,,,,,"Temporary hitpoints: you gain temporary hitpoints equal to your level in this class. at the end of the rage, lose hitpoints equal to your level in this class. "
,,,,,,,,,,,,,,,,,,,,Gain an ability from one person near you at random. Their lowest mental stat becomes your lowest stat for the duration of your rage. ,,Crit immunity: you become immune to critical for the duration of your rage your AC also increases by your rage bonus. you also may not benefit from a critical against opponents. 
,,,,,,,,,,,,,,,,,,,,,,"Induce tempoeray madness: your weapon attacks induce a random short term madness effect against your target if they fail an intelligence saving throw. At the end of the rage, the DM will chose an effect from the short term madness table for you. "
